Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,24,2TM,PF,74,18,1624,235,469,0.501,26,97,0.268,209,372,0.562,0.529,69,112,0.616,191,296,487,97,46,68,83,143,565,14.6,0.545,0.207,0.239,13,20.5,16.7,8.4,1.4,3.9,13.8,15.9,1.2,2.2,3.4,0.102,-1.7,0.3,-1.4,0.2
2,Bam Adebayo,26,MIA,C,71,71,2416,530,1017,0.521,15,42,0.357,515,975,0.528,0.529,292,387,0.755,159,578,737,278,81,66,162,159,1367,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7
3,Ochai Agbaji,23,2TM,SG,78,28,1641,178,433,0.411,62,211,0.294,116,222,0.523,0.483,37,56,0.661,74,142,216,83,47,44,64,117,455,7.7,0.497,0.487,0.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,-0.5,0.6,0.1,0.002,-3.5,-0.9,-4.4,-1
4,Santi Aldama,23,MEM,PF,61,35,1618,247,568,0.435,106,304,0.349,141,264,0.534,0.528,54,87,0.621,72,280,352,138,43,54,69,89,654,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2,2.4,0.07,-0.7,0.4,-0.2,0.7
5,Nickeil Alexander-Walker,25,MIN,SG,82,20,1921,236,538,0.439,131,335,0.391,105,203,0.517,0.56,52,65,0.8,35,132,167,204,64,42,76,143,655,10.9,0.578,0.623,0.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,1.5,2.8,4.3,0.107,-1.1,1.3,0.2,1.1
6,Grayson Allen,28,PHO,SG,75,74,2513,340,682,0.499,205,445,0.461,135,237,0.57,0.649,129,147,0.878,48,247,295,227,69,45,95,157,1014,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2
7,Jarrett Allen,25,CLE,C,77,77,2442,519,819,0.634,0,6,0,519,813,0.638,0.634,233,314,0.742,243,568,811,210,53,81,121,147,1271,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3,3.1
8,Timmy Allen,24,MEM,SF,5,0,125,6,23,0.261,0,7,0,6,16,0.375,0.261,1,2,0.5,4,13,17,5,4,0,2,18,13,0.8,0.272,0.304,0.087,3.4,11.8,7.4,5.4,1.6,0,7.7,8.9,-0.2,0.1,-0.1,-0.041,-10.3,-0.7,-11.1,-0.3
9,Jose Alvarado,25,NOP,PG,56,0,1028,142,345,0.412,78,207,0.377,64,138,0.464,0.525,35,52,0.673,25,103,128,117,59,15,40,89,397,12.5,0.54,0.6,0.151,2.7,11,6.9,15.3,2.8,1.4,9.8,17.3,0.6,1.5,2.1,0.097,-1.5,1.5,-0.1,0.5
10,Kyle Anderson,30,MIN,PF,79,10,1782,199,433,0.46,11,48,0.229,188,385,0.488,0.472,97,137,0.708,60,213,273,331,71,47,91,128,506,12.7,0.513,0.111,0.316,4,13,8.7,25,2,2.3,15.6,14.5,1.4,3.1,4.5,0.121,-1.6,2.7,1.1,1.4
11,Giannis Antetokounmpo,29,MIL,PF,73,73,2567,837,1369,0.611,34,124,0.274,803,1245,0.645,0.624,514,782,0.657,196,645,841,476,87,79,250,210,2222,29.9,0.649,0.091,0.571,8.6,27,17.9,32.7,1.6,2.6,12.7,33,9.5,3.7,13.2,0.246,6.7,2.4,9,7.2
12,Thanasis Antetokounmpo,31,MIL,PF,34,0,155,16,30,0.533,0,1,0,16,29,0.552,0.533,0,2,0,7,6,13,17,7,4,14,24,32,5.5,0.518,0.033,0.067,5.1,4.2,4.6,13.9,2.2,2.2,31.2,12.5,-0.2,0.1,0,-0.01,-6.7,0.3,-6.4,-0.2
13,Cole Anthony,23,ORL,PG,81,0,1817,332,763,0.435,93,275,0.338,239,488,0.49,0.496,180,218,0.826,64,247,311,236,64,37,126,175,937,14.6,0.545,0.36,0.286,4.1,16.1,10.1,19.8,1.7,1.9,12.8,23.7,0.9,2.7,3.6,0.096,-0.6,0.7,0.1,1
14,OG Anunoby,26,2TM,SF,50,50,1702,282,577,0.489,102,267,0.382,180,310,0.581,0.577,67,89,0.753,47,161,208,107,68,36,81,119,733,12.8,0.595,0.463,0.154,3,10.6,6.8,9,2,1.9,11.6,17.6,1.1,1.5,2.6,0.073,-1,0.5,-0.6,0.6
15,Ryan Arcidiacono,29,NYK,PG,20,0,45,0,6,0,0,6,0,0,0,,0,0,0,,0,8,8,4,2,0,2,5,0,-2,0,1,0,0,20,10,10.4,2.2,0,25,7.7,-0.1,0.1,-0.1,-0.089,-11.5,1.9,-9.6,-0.1
16,Deni Avdija,23,WAS,SF,75,75,2257,406,803,0.506,88,235,0.374,318,568,0.56,0.56,202,273,0.74,84,456,540,286,60,36,160,185,1102,14.9,0.597,0.293,0.34,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,1.7,1.5,3.2,0.068,-0.7,-0.2,-0.9,0.6
17,Deandre Ayton,25,POR,C,55,55,1784,427,749,0.57,1,10,0.1,426,739,0.576,0.571,65,79,0.823,176,433,609,90,56,42,99,109,920,18.9,0.587,0.013,0.105,10.4,28.9,19.1,8.8,1.5,2.1,11.2,21.1,1.8,2.1,3.9,0.106,0.5,-0.2,0.3,1
18,Udoka Azubuike,24,PHO,C,16,0,113,16,23,0.696,0,0,,16,23,0.696,0.696,3,13,0.231,11,21,32,3,1,6,4,17,35,12.3,0.609,0,0.565,11.6,20,16,3.6,0.4,4.7,12.2,12.6,0.1,0.1,0.2,0.1,-3,-0.1,-3.2,0
19,Ibou Badji,21,POR,C,22,1,226,14,22,0.636,0,0,,14,22,0.636,0.636,6,12,0.5,20,31,51,13,3,20,15,46,34,8.1,0.623,0,0.545,9.4,16.3,12.6,7.7,0.7,8,35.5,8,0,0.2,0.2,0.046,-7.7,1.9,-5.8,-0.2
20,Marvin Bagley III,24,2TM,C,50,25,1053,239,408,0.586,9,23,0.391,230,385,0.597,0.597,96,126,0.762,130,182,312,55,20,33,59,81,583,19.4,0.629,0.056,0.309,13.1,19.2,16.1,8.1,0.9,2.6,11.3,21,2,0.7,2.7,0.122,1,-1.4,-0.4,0.4
21,Amari Bailey,19,CHO,PG,10,0,65,8,24,0.333,1,8,0.125,7,16,0.438,0.354,6,7,0.857,6,3,9,7,3,0,4,2,23,9.7,0.425,0.333,0.292,10.1,5.3,7.8,15.2,2.3,0,12.9,21.1,-0.1,0,-0.1,-0.044,-5.2,-3.1,-8.3,-0.1
22,Patrick Baldwin Jr.,21,WAS,SF,38,7,493,59,155,0.381,31,97,0.32,28,58,0.483,0.481,19,28,0.679,17,106,123,29,18,15,19,56,168,9.7,0.502,0.626,0.181,3.6,23.5,13.3,7.6,1.7,2.5,10.2,15.9,-0.3,0.5,0.2,0.019,-4,-0.6,-4.6,-0.3
23,LaMelo Ball,22,CHO,PG,22,22,711,183,423,0.433,70,197,0.355,113,226,0.5,0.515,90,104,0.865,29,84,113,176,40,4,83,79,526,20.8,0.561,0.466,0.246,4.4,13.7,8.9,43.1,2.8,0.5,15,34.3,0.6,0.5,1.1,0.074,3.8,-0.5,3.3,1
